2021-11-30 11:49:49,657 CRITICAL config_client_log.py Критическая ошибка
2021-11-30 11:49:49,657 ERROR    config_client_log.py Ошибка
2021-12-03 16:10:34,761 DEBUG    decorated.py Была вызвана функция create_arg_parser c параметрами (), {}. Вызов из модуля __main__.Вызов из функции main
2021-12-03 16:10:34,761 DEBUG    client.py Создано сообщение:
2021-12-03 16:10:34,761 DEBUG    decorated.py Была вызвана функция say_hello c параметрами (), {}. Вызов из модуля __main__.Вызов из функции main
2021-12-03 16:10:34,769 DEBUG    client.py Чтение сообщения от сервера:
2021-12-03 16:10:34,769 INFO     client.py Cообщение от сервера прочитано успешно:
2021-12-03 16:10:34,769 DEBUG    decorated.py Была вызвана функция read_answer c параметрами ({'response': 200},), {}. Вызов из модуля __main__.Вызов из функции main
2021-12-03 16:12:50,260 DEBUG    decorated.py Функция create_arg_parser c параметрами (), {}. была вызвана из модуля main__main__.
2021-12-03 16:12:50,260 DEBUG    client.py Создано сообщение:
2021-12-03 16:12:50,260 DEBUG    decorated.py Функция say_hello c параметрами (), {}. была вызвана из модуля main__main__.
2021-12-03 16:12:50,268 DEBUG    client.py Чтение сообщения от сервера:
2021-12-03 16:12:50,268 INFO     client.py Cообщение от сервера прочитано успешно:
2021-12-03 16:12:50,268 DEBUG    decorated.py Функция read_answer c параметрами ({'response': 200},), {}. была вызвана из модуля main__main__.
2021-12-03 16:13:17,382 DEBUG    decorated.py Функция create_arg_parser c параметрами (), {}. была вызвана из модуля main
2021-12-03 16:13:17,382 DEBUG    client.py Создано сообщение:
2021-12-03 16:13:17,382 DEBUG    decorated.py Функция say_hello c параметрами (), {}. была вызвана из модуля main
2021-12-03 16:13:17,399 DEBUG    client.py Чтение сообщения от сервера:
2021-12-03 16:13:17,399 INFO     client.py Cообщение от сервера прочитано успешно:
2021-12-03 16:13:17,399 DEBUG    decorated.py Функция read_answer c параметрами ({'response': 200},), {}. была вызвана из модуля main
2021-12-03 16:16:34,507 DEBUG    decorated.py Функция create_arg_parser c параметрами (), {} - была вызвана из модуля main
2021-12-03 16:16:34,507 DEBUG    client.py Создано сообщение:
2021-12-03 16:16:34,516 DEBUG    decorated.py Функция say_hello c параметрами (), {} - была вызвана из модуля main
2021-12-03 16:16:34,516 DEBUG    decorated.py Функция send_message c параметрами (<socket.socket fd=448, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 50558), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1638537394.5078714, 'user': {'account_name': 'Guest'}}), {} - была вызвана из модуля main
2021-12-03 16:16:34,524 DEBUG    decorated.py Функция get_message c параметрами (<socket.socket fd=448, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 50558), raddr=('127.0.0.1', 7777)>,), {} - была вызвана из модуля main
2021-12-03 16:16:34,524 DEBUG    client.py Чтение сообщения от сервера:
2021-12-03 16:16:34,524 INFO     client.py Cообщение от сервера прочитано успешно:
2021-12-03 16:16:34,524 DEBUG    decorated.py Функция read_answer c параметрами ({'response': 200},), {} - была вызвана из модуля main
2021-12-03 16:18:20,041 DEBUG    decorated.py Функция create_arg_parser c параметрами (), {} - была вызвана из модуля main
2021-12-03 16:18:20,041 DEBUG    client.py Создано сообщение:
2021-12-03 16:18:20,041 DEBUG    decorated.py Функция say_hello c параметрами (), {} - была вызвана из модуля main
